OBJECTID,osm_id,osm_type,isced_leve,capacity,name,amenity,X,Y
1,6764172917.000000000000000,nodes, , ,پیش دبستان و دبستان نهال دانش,school,548143.209290000030000,3955635.673450000100000
2,9334154149.000000000000000,nodes, ,1000,مجتمع آموزشی فرهنگ منطقه 4,school,549595.049884999990000,3955624.829450000100000
3,4581656635.000000000000000,nodes, , ,دبیرستان شهید زین الدین,school,542784.382717999980000,3958410.008239999900000
4,7744051939.000000000000000,nodes, , ,دبستان دخترانه فردوس,school,541410.237572000010000,3957338.562489999900000
5,3619411398.000000000000000,nodes, , ,دبیرستان سلام,school,542771.191288999980000,3955180.143980000200000
6,7745193150.000000000000000,nodes, , ,دبستان مهارت آموز,school,541305.220310000000000,3955682.232830000100000
7,7693597779.000000000000000,nodes, , ,مدرسه نشاط,school,544120.331200000020000,3955919.782410000000000
8,9467047997.000000000000000,nodes, , ,مدرسه علمیه حضرت زینب کبری,school,542745.150674000030000,3957178.994860000000000
9,9350761207.000000000000000,nodes, , ,دبستان پسرانه استاد شهريار,school,547366.372811999990000,3957529.284810000100000
10,9350270844.000000000000000,nodes, , ,دبیرستان دوره اول علامه حلی ۲,school,545705.850576999950000,3956855.056810000000000
11,9332868830.000000000000000,nodes, , ,دانشگاه علمی و کاربردی دکتر عبیدی,school,549194.729526999990000,3953860.508409999800000
12,9332868836.000000000000000,nodes, , ,مجتمع آموزشی دخترانه غیردولتی زینبیه,school,549233.541724000010000,3953882.596030000100000
13,5308570921.000000000000000,nodes, , ,دبیرستان دوره اول نمونه دولتی دخترانه سعدی۰,school,549828.473527000050000,3954153.975670000100000
14,4932413025.000000000000000,nodes, , ,هنرستان دخترانه فسایی نژاد,school,541444.751774000000000,3957315.775760000100000
15,5286061214.000000000000000,nodes, , ,مجتمع فرهنگی اسلامی شهدای کشتی‌رانی,school,544641.710265000000000,3958567.885900000100000
16,5088814123.000000000000000,nodes, , ,دبیرستان دخترانه فرهیختگان,school,543374.597859999980000,3958102.972579999800000
17,8073377331.000000000000000,nodes, , ,دبستان بادبادک,school,543762.711940999960000,3959141.042710000200000
18,7689102062.000000000000000,nodes, , ,مدرسه غیر انتفاعی دخترانه صبا,school,543474.675241000020000,3959270.858260000100000
19,8251422622.000000000000000,nodes, , ,دبیرستان پسرانه شهید مجمدعلی رجایی,school,541064.173640000050000,3957037.762860000100000
20,12165331216.000000000000000,nodes, , ,دبستان غیردولتی دخترانه فرهنگ ایران,school,548545.397206000050000,3954651.368640000000000
21,12121731154.000000000000000,nodes, , ,دبستان پسرانه درخت دانش دوره اول,school,542244.238134999990000,3959102.160130000200000
22,12121759873.000000000000000,nodes, , ,دبستان دخترانه درخت دانش,school,542032.711567000020000,3958232.674720000000000
23,12121756141.000000000000000,nodes, , ,دبستان پسرانه درخت دانش دوره دوم,school,542156.913349000040000,3958550.057399999800000
24,5186458824.000000000000000,nodes, , ,دبیرستان توحید,school,544121.828875000010000,3960313.760689999900000
25,5714419921.000000000000000,nodes, , ,دبستان پسرانه عمار,school,544765.047416000040000,3959260.604090000000000
26,5422036722.000000000000000,nodes, , ,دبستان حقیقت,school,544756.612064999990000,3959289.709830000100000
27,7691023437.000000000000000,nodes, , ,دبستان حورا,school,543422.214221999980000,3956374.743390000000000
28,7690473536.000000000000000,nodes, , ,دبستان دخترانه پروین اعتصامی ۱,school,542825.074836999990000,3956607.053900000200000
29,10180263978.000000000000000,nodes, , ,مدرسه رضوان,school,542394.894485999950000,3959030.153469999800000
30,10891465509.000000000000000,nodes, , ,دبیرستان پسرانه فردوسی,school,540989.078102999950000,3957030.749379999900000
31,9822380760.000000000000000,nodes, , ,مدرسه دخترانه بهشتی,school,551949.128738999950000,3956659.861209999800000
32,9791857956.000000000000000,nodes, , ,دبيرستان دخترانه غيردولتی آلا,school,547737.906236000010000,3955224.606999999800000
33,2123562830.000000000000000,nodes, , ,دبیرستان پسرانه شهید علیپور,school,542266.782245000010000,3958637.626240000100000
34,2123562831.000000000000000,nodes, , , ,school,542233.959982999950000,3958505.193599999900000
35,7689035967.000000000000000,nodes, , ,مدرسه شهدا پاسداران,school,541771.018813999950000,3957632.457870000000000
