OBJECTID_1, NAME_MAHAL, reg_no,cod_txt, Population, SaftyLevel, No_Facilities, X, Y

1,کرمان,8,802,53078,0.9410000,7,542854.635457513850000,3954405.396822044600000
2,هفت حوض,8,804,32960,0.9680000,16,544297.733439771460000,3953935.987324992200000
3,مدائن,8,805,36865,0.9450000,5,544944.215181265960000,3953850.493779504700000
4,دردشت,8,806,30387,0.9450000,14,545825.418826526030000,3953990.763514353000000
5,دروس,3,307,32355,0.7910000,6,541240.244401890780000,3958938.022522689800000
6,صدر,3,305,18277,0.8940000,9,539921.365018008280000,3959761.396966544900000
7,قلهک,3,308,22963,0.9680000,6,540175.889236338440000,3958939.913110258100000
8,قبا,3,311,17192,0.8980000,5,540605.245917066930000,3957546.750527115500000
9,حسن آباد_ زرگنده,3,304,39828,0.9500000,7,539128.621718418780000,3958748.585641197900000
10,امانيه,3,303,26745,0.8980000,6,537574.005286195320000,3959692.389701303100000
11,رستم آباد_ اختياريه,3,306,56697,0.9850000,13,541602.590247155170000,3960337.540916523000000
12,پاسدارن_ ضرابخانه,4,401,19326,0.9440000,10,542304.919799483380000,3958848.748597838000000
13,حصاربوعلي,1,119,13368,0.9270000,7,542259.151118977000000,3962449.087007563600000
14,جماران,1,107,8373,0.0310000,4,541522.582932775840000,3963931.477902948900000
15,ازگل,1,122,25362,0.9860000,5,546184.142442714420000,3960717.439994284900000
16,شهرک گلها,1,123,3048,0.9420000,5,544978.793134752660000,3962399.626547103700000
17,شهرک نفت,1,111,24137,0.9560000,11,545663.020472778940000,3962899.351199163100000
18,سوهانک,1,113,22829,0.9670000,8,547881.512149889950000,3962129.676256040100000
19,تجريش,1,116,14564,0.7770000,8,538914.615597931670000,3960985.387943267800000
20,درکه,1,101,6719,0.7920000,3,534686.893008735030000,3962339.832735953900000
21,فدک,8,803,40134,0.8110000,11,543518.859474620780000,3953866.845033133400000
22,تهرانپارس,8,807,56763,0.9530000,14,547080.303064889270000,3953719.636815847800000
23,مهران,4,416,29497,0.9840000,10,541319.785144921390000,3956160.478743881000000
24,شمس آباد _ مجيديه,4,414,68003,0.9290000,12,543220.009509507570000,3956037.758936712500000
25,کاظم آباد,4,415,30228,0.9110000,6,542405.125154877080000,3956346.319398626700000
26,کوهک,4,417,21603,0.9290000,6,544162.650461008770000,3955515.355492383200000
27,کوهسار,4,407,40336,0.9640000,3,550893.540092997250000,3957003.651268050100000
28,اوقاف,4,412,49864,0.9610000,8,546508.686120773670000,3956336.322064425800000
29,قنات کوثر,4,405,24138,0.9910000,11,548245.114816997200000,3957782.521774871300000
30,مجيدآباد,4,406,32569,0.9340000,3,549254.834671058690000,3957646.209029875700000
31,تهرانپارس غربي,4,411,124634,0.9690000,12,548105.919580485670000,3955434.976865399600000
32,نارمک,4,419,29784,0.9850000,7,545616.740718482990000,3954824.529319558300000
33,علم وصنعت,4,418,46880,0.9240000,5,546071.126720672470000,3955420.968916574500000
34,حسين آباد_ مبارک آباد,4,402,62773,0.9350000,11,543305.906395060010000,3958567.162654439000000
35,لويزان _ شيان,4,403,25723,0.9990000,6,545292.449510490520000,3959398.837336778600000
36,شميران نو,4,413,44857,0.9360000,7,545082.548019092530000,3957375.685169985500000
37,تهرانپارس شرقي,4,410,6681,0.9760000,5,549457.855784819460000,3955348.088375812400000
38,گلشن,4,409,57312,0.9620000,6,550944.853407241400000,3955547.804014258100000
39,حکيميه,4,408,51698,1.0000000,13,552475.769898275840000,3954805.062223505200000
40,جواديه,4,420,58768,0.9060000,11,549675.281971379180000,3954405.764723019700000
41,قاسم آباد,4,404,21787,0.9740000,6,547310.396581557580000,3958276.533952077900000
42,آرارات,3,302,21009,0.9680000,5,536145.542011220940000,3959027.616928823300000
43,ونک,3,301,19143,0.9900000,12,535431.055827989240000,3957879.214360384300000
44,کاووسيه,3,309,20626,0.9370000,14,537240.889519523830000,3957672.105043068500000
45,داووديه,3,310,24511,0.9940000,7,539381.175164425750000,3957384.769757257800000
46,شهرک شهيد محلاتي,1,112,32186,0.9570000,13,546648.702384494250000,3962261.986482085700000
47,سید خندان,3,312,30658,0.9240000,6,539127.832591840070000,3956197.312413834000000
48,باغ فردوس,1,115,17579,0.5920000,6,538275.127384455870000,3961287.887402048300000
49,زعفرانيه,1,104,30377,0.9440000,5,537466.979348105380000,3962825.766786210200000
50,فرمانیه,1,120,22574,0.9920000,6,542635.975663617250000,3961408.487074846400000
51,قيطريه,1,126,24680,0.9080000,8,540088.928281079980000,3960786.060278404500000
52,چيذر,1,125,18995,0.9440000,7,541162.278872937900000,3961672.802593747200000
53,اوين,1,102,8226,0.2780000,7,535553.473912018350000,3961746.314983606300000
54,دزاشیب,1,118,15178,0.1280000,5,541027.562032495630000,3962810.414799582200000
55,نياوران,1,108,9791,0.0000000,7,542372.381068879740000,3963825.853072159000000
56,کاشانک,1,109,30216,0.7640000,5,543304.822933099230000,3962921.577621925600000
57,گلاب دره,1,106,14224,0.8700000,2,539785.840345501900000,3963979.825477257400000
58,اراج,1,121,16408,0.9930000,6,544050.660289314580000,3961228.462142972300000
59,داراباد,1,110,15236,0.9850000,3,544323.108050809240000,3963103.558627681800000
60,دربند,1,105,11282,0.2040000,5,538555.785599899480000,3963624.572681648700000
61,حکمت _ دزاشيب,1,124,40434,0.9810000,5,540005.608901021070000,3961942.880086978900000
62,امام زاده قاسم,1,117,23845,0.9660000,8,539753.485550305810000,3963259.421274881800000
63,محموديه,1,114,8763,0.2240000,5,537292.976966306570000,3961372.767494253800000
64,ولنجک,1,103,26587,0.9520000,12,536246.209780815990000,3962407.083258831900000
