ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
1,حکیمیه - مجتمع آموزشی و پرورشی آرمان,1,88,1,555.237173856970120
2,حکیمیه - دبستان امام خمینی,1,87,2,1007.591052068600000
3,حکیمیه - مدرسه ابتدایی مقداد,1,52,3,2315.326493561149200
4,حکیمیه - صدوقی,1,53,4,2926.887576990912700
5,حکیمیه - دبستان پسرانه منصور نفر,1,54,5,3269.487339515650100
6,حکیمیه - مدرسه دخترانه بهشتی,1,30,6,3913.500169023231600
7,حکیمیه - پیش دبستانی مروارید,1,36,7,4000.532985108422500
8,حکیمیه - مدرسه ابتدایی شهید عارف‌نسب,1,59,8,4575.099668133807400
9,حکیمیه - دبیرستان پسرانه غفاری,1,56,9,4815.619255194759700
10,حکیمیه - دبیرستان پسرانه طالقانی,1,55,10,4840.439015002647500
11,حکیمیه - دبستان طالقانی,1,57,11,4840.439015002647500
12,حکیمیه - دبیرستان غفاری,1,58,12,4840.439015002647500
13,حکیمیه - دبیرستان دوره اول نمونه دولتی دخترانه سعدی۰,1,13,13,5131.055248958664400
14,حکیمیه - مجتمع آموزشی فرهنگ منطقه 4,1,3,14,5193.761768261448200
15,حکیمیه - مجتمع آموزشی دخترانه غیردولتی زینبیه,1,12,15,5456.531824187569300
16,حکیمیه - دبستان دخترانه بوستان امید,1,83,16,5471.189305596533800
17,حکیمیه - مدرسه دخترانه امام رضا (ع),1,81,17,5510.598901368757700
18,حکیمیه - مرکز توانبخشی معلولان بالای ۱۴ سال,1,62,18,5604.666732207083400
19,حکیمیه - مدرسه دخترانه امام سجاد,1,80,19,5612.900996352247600
20,حکیمیه - دبستان و دبیرستان پسرانه کمیل,1,82,20,5630.023265304080300
21,حکیمیه - مدرسه دخترانه پارس,1,63,21,5636.390718332055300
22,حکیمیه - دانشگاه علمی و کاربردی دکتر عبیدی,1,11,22,5708.731341346798200
23,حکیمیه - مدرسه شاهد مطهری,1,78,23,6378.267528121137700
24,حکیمیه - دبیرستان پسرانه شاهد نورعلی (دوره اول),1,79,24,6387.174560065902400
25,حکیمیه - دبیرستان پسرانه بنیان,1,77,25,6389.047388178261800
26,حکیمیه - مجتمع آموزشی پسرانه غیردولتی نور علوی,1,75,26,6411.722177445206400
27,حکیمیه - دبیرستان دوره اول دخترانه شاهد آسیه,1,73,27,6458.800912350290700
28,حکیمیه - دبستان غیردولتی دخترانه فرهنگ ایران,1,20,28,6460.919107232462000
29,حکیمیه - دبیرستان پسرانه درخشان,1,64,29,6562.360101158956200
30,حکیمیه - دبستان محمدرضا هوایی,1,76,30,6575.434422443439900
31,حکیمیه - آموزشگاه استثنایی پسرانه شهید بهشتی,1,65,31,6645.401459802005800
32,حکیمیه - هنرستان خواجه نصیرالدین طوسی,1,66,32,6688.028166942101100
33,حکیمیه - دبستان پسرانه شاهد شهید دهقان,1,74,33,6730.631773711356800
34,حکیمیه - مدرسه علوم دینیه,1,61,34,6777.211774161876700
35,حکیمیه - دبستان دخترانه استاد خدابخش,1,67,35,6777.211774161876700
36,حکیمیه - پیش دبستان و دبستان نهال دانش,1,2,36,7044.786806752690600
37,حکیمیه - پیش دبستانی و دبستان جلوه دانش ۲,1,47,37,7106.558164662550600
38,حکیمیه - دبیرستان دوره اول دخترانه نبوت,1,48,38,7106.558164662550600
39,حکیمیه - دبیرستان پسرانه آذین علم,1,50,39,7129.756602579091100
40,حکیمیه - دبيرستان دخترانه غيردولتی آلا,1,31,40,7172.130839462779500
41,حکیمیه - دبستان پسرانه امت,1,51,41,7172.130839462779500
42,حکیمیه - دبیرستان دخترانه تربیت,1,49,42,7179.420763351348800
43,حکیمیه - دبیرستان روشنگران,1,37,43,7233.893908674725000
44,حکیمیه - دبیرستان دخترانه هدف,1,72,44,7266.989844507129400
45,حکیمیه - دبستان استاد شهریار,1,68,45,7344.158154567526300
46,حکیمیه - مجتمع فنی تهران,1,84,46,7743.403211387643800
47,حکیمیه - هنرستان آیت,1,69,47,7823.959647349954100
48,حکیمیه - دبیرستان دخترانه شهید آیت,1,70,48,7823.959647349954100
49,حکیمیه - دبیرستان دخترانه دکتر محمدجواد شرافت,1,71,49,7823.959647349954100
50,حکیمیه - مدرسه غیر دولتی نیک دخت,1,1,50,7913.779957263059300
51,حکیمیه - مدرسه شرافت,1,38,51,8031.169976276379200
52,حکیمیه - دبستان پسرانه استاد شهريار,1,9,52,8098.821071209352300
53,حکیمیه - کانون فرهنگی شاهد شماره ۲,1,97,53,8152.720167321574100
54,حکیمیه - سروش,1,85,54,8259.536965390168900
55,حکیمیه - هنرستان نرگس,1,86,55,8326.280836289250100
56,حکیمیه - مدرسه غیرانتفاعی ابوالمعالی,1,46,56,8409.534192663419200
57,حکیمیه - دبیرستان دخترانه امام محمد باقر,1,39,57,8903.158377279090900
58,حکیمیه - دبستان شهدا آزادی,1,40,58,9012.680910500039300
59,حکیمیه - دبستان غدیر یک,1,41,59,9114.033639169254500
60,حکیمیه - دبیرستان دخترانه مهر,1,93,60,9146.873831429660600
61,حکیمیه - دبیرستان پسرانه غیبی,1,42,61,9147.162327171925400
62,حکیمیه - دبیرستان دخترانه,1,43,62,9173.988149301647400
