ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
1,مدرسه غیر دولتی نیک دخت - بوستان احدزاده,1,89,1,698.673655393727360
2,مدرسه غیر دولتی نیک دخت - هنرستان نرگس,1,4,2,954.502455642029990
3,مدرسه غیر دولتی نیک دخت - بوستان شبنم,1,155,3,1144.241205391358300
4,مدرسه غیر دولتی نیک دخت - بوستان اقاقیا,1,49,4,1165.904659976780500
5,مدرسه غیر دولتی نیک دخت - مدرسه ابو علی سینا,1,51,5,1195.644801735264300
6,مدرسه غیر دولتی نیک دخت - مدرسه پورداود,1,101,6,1254.063965075090200
7,مدرسه غیر دولتی نیک دخت - سالن فوتبال مجموعه ورزشی شهید عراقی,1,104,7,1254.063965075090200
8,مدرسه غیر دولتی نیک دخت - مدرسه استاد خدابخش,1,102,8,1363.145229423073900
9,مدرسه غیر دولتی نیک دخت - بوستان گلسا,1,60,9,1403.396709220162600
10,مدرسه غیر دولتی نیک دخت - بوستان 22 بهمن,1,61,10,1534.923145035275900
11,مدرسه غیر دولتی نیک دخت - مدرسه شهید مفتح,1,92,11,1615.086644213458600
12,مدرسه غیر دولتی نیک دخت - مدرسه شهید مطهری,1,50,12,1618.206187291847300
13,مدرسه غیر دولتی نیک دخت - بوستان بهارک,1,12,13,1639.559284074602400
14,مدرسه غیر دولتی نیک دخت - بوستان ارغوان,1,11,14,1661.342866850945700
15,مدرسه غیر دولتی نیک دخت - گذر سبز شاهد (غربی),1,62,15,1760.927107248606000
16,مدرسه غیر دولتی نیک دخت - بوستان گلبرک,1,152,16,1770.585657352116000
17,مدرسه غیر دولتی نیک دخت - بوستان فتاحی,1,132,17,1821.655400068326100
18,مدرسه غیر دولتی نیک دخت - گذر سبز شاهد (شرقی),1,63,18,1950.452406406005100
19,مدرسه غیر دولتی نیک دخت - مدرسه تربیت,1,6,19,2019.443546703979100
20,مدرسه غیر دولتی نیک دخت - بوستان گلنار,1,42,20,2080.527083373566300
21,مدرسه غیر دولتی نیک دخت - دبیرستان سمیه,1,91,21,2112.064515224023100
22,مدرسه غیر دولتی نیک دخت - بوستان معین نژاد,1,10,22,2215.993672994287400
23,مدرسه غیر دولتی نیک دخت - بوستان سمیه,1,114,23,2275.408054003180500
24,مدرسه غیر دولتی نیک دخت - بوستان نخل,1,151,24,2289.202622727773400
25,مدرسه غیر دولتی نیک دخت - زمین ورزشی,1,5,25,2291.177644224344900
26,مدرسه غیر دولتی نیک دخت - بوستان یاس,1,131,26,2455.475836944926900
27,مدرسه غیر دولتی نیک دخت - هنرستان فجر,1,87,27,2506.219500217139300
28,مدرسه غیر دولتی نیک دخت - بوستان نوفل لوشاتو,1,82,28,2722.332078288185100
29,مدرسه غیر دولتی نیک دخت - فضای سبز میدان 57,1,93,29,2761.282125568655400
30,مدرسه غیر دولتی نیک دخت - بوستان یکصدم,1,90,30,2790.781515010141900
31,مدرسه غیر دولتی نیک دخت - بوستان دانش,1,83,31,2805.907490236799300
32,مدرسه غیر دولتی نیک دخت - دانشگاه علم صنعت,1,115,32,2820.854828369393100
33,مدرسه غیر دولتی نیک دخت - مجموعه ورزشی شهید طوقانی,1,85,33,2848.375221764014900
34,مدرسه غیر دولتی نیک دخت - هنرستان سید الشهدا (ع),1,19,34,2902.306511696946900
35,مدرسه غیر دولتی نیک دخت - مدرسه شعبانی,1,125,35,2920.527693982658500
36,مدرسه غیر دولتی نیک دخت - بوستان سراج,1,18,36,3027.999113990672400
37,مدرسه غیر دولتی نیک دخت - مدرسه الغدیر 2,1,86,37,3047.372605157371300
38,مدرسه غیر دولتی نیک دخت - مدرسه غیاثوند,1,122,38,3063.860307478475100
39,مدرسه غیر دولتی نیک دخت - بوستان سحر,1,128,39,3104.555509581868600
40,مدرسه غیر دولتی نیک دخت - بوستان کوثر,1,116,40,3181.189420697081500
